object_id|attribute_id|context_id
1001|2003|3005
1001|2010|3005
1001|2015|3005
1001|2017|3005
1001|2019|3005
1001|2020|3005
1001|2025|3005
1001|2026|3005
1001|2029|3005
1001|2030|3005
1001|2045|3005
1001|2046|3005
1001|2053|3005
1001|2061|3005
1001|2064|3005
1001|2070|3005
1001|2081|3005
1001|2082|3005
1001|2091|3005
1003|2009|3005
1003|2019|3005
1003|2025|3005
1003|2033|3005
1003|2049|3005
1003|2051|3005
1003|2060|3005
1003|2080|3005
1005|2002|3005
1005|2008|3005
1005|2042|3005
1005|2043|3005
1005|2050|3005
1005|2055|3005
1005|2065|3005
1005|2076|3005
1005|2090|3005
1008|2008|3005
1008|2018|3005
1008|2023|3005
1008|2027|3005
1008|2046|3005
1008|2058|3005
1008|2071|3005
1008|2073|3005
1011|2004|3005
1011|2009|3005
1011|2013|3005
1011|2020|3005
1011|2025|3005
1011|2033|3005
1011|2049|3005
1011|2051|3005
1011|2054|3005
1011|2080|3005
1013|2003|3005
1013|2008|3005
1013|2010|3005
1013|2011|3005
1013|2020|3005
1013|2025|3005
1013|2030|3005
1013|2053|3005
1013|2061|3005
1013|2070|3005
1013|2077|3005
1017|2001|3005
1017|2009|3005
1017|2014|3005
1017|2019|3005
1017|2020|3005
1017|2025|3005
1017|2032|3005
1017|2033|3005
1017|2051|3005
1017|2074|3005
1017|2075|3005
1017|2078|3005
1017|2080|3005
1018|2003|3005
1018|2010|3005
1018|2015|3005
1018|2032|3005
1018|2036|3005
1018|2046|3005
1018|2053|3005
1018|2063|3005
1018|2067|3005
1018|2072|3005
1020|2003|3005
1020|2008|3005
1020|2019|3005
1020|2020|3005
1020|2023|3005
1020|2025|3005
1020|2028|3005
1020|2033|3005
1020|2046|3005
1020|2051|3005
1020|2069|3005
1020|2079|3005
1026|2002|3005
1026|2005|3005
1026|2006|3005
1026|2007|3005
1026|2010|3005
1026|2016|3005
1026|2020|3005
1026|2021|3005
1026|2025|3005
1026|2029|3005
1026|2038|3005
1026|2048|3005
1026|2053|3005
1026|2070|3005
1027|2022|3005
1027|2024|3005
1027|2035|3005
1027|2047|3005
1027|2055|3005
1027|2059|3005
1027|2061|3005
1027|2072|3005
1027|2090|3005
1036|2015|3005
1036|2017|3005
1036|2020|3005
1036|2037|3005
1036|2059|3005
1036|2061|3005
1036|2079|3005
1036|2090|3005
1040|2002|3005
1040|2009|3005
1040|2025|3005
1040|2040|3005
1040|2041|3005
1040|2042|3005
1040|2055|3005
1040|2070|3005
1040|2090|3005
1040|2091|3005
1042|2003|3005
1042|2011|3005
1042|2015|3005
1042|2025|3005
1042|2036|3005
1042|2038|3005
1042|2053|3005
1042|2061|3005
1042|2070|3005
1045|2003|3005
1045|2012|3005
1045|2017|3005
1045|2020|3005
1045|2028|3005
1045|2045|3005
1045|2046|3005
1045|2057|3005
1045|2064|3005
1050|2005|3005
1050|2007|3005
1050|2048|3005
1050|2050|3005
1050|2052|3005
1050|2056|3005
1050|2061|3005
1050|2090|3005
1054|2002|3005
1054|2010|3005
1054|2015|3005
1054|2017|3005
1054|2026|3005
1054|2059|3005
1054|2068|3005
1054|2090|3005
1057|2019|3005
1057|2025|3005
1057|2028|3005
1057|2033|3005
1057|2051|3005
1057|2054|3005
1057|2060|3005
1057|2062|3005
1057|2066|3005
1057|2080|3005
1061|2010|3005
1061|2020|3005
1061|2022|3005
1061|2037|3005
1061|2059|3005
1061|2061|3005
1061|2090|3005
1062|2015|3005
1062|2030|3005
1062|2031|3005
1062|2039|3005
1062|2053|3005
1062|2067|3005
1062|2079|3005
1001|2003|3002
1001|2010|3002
1001|2015|3002
1001|2017|3002
1001|2019|3002
1001|2020|3002
1001|2025|3002
1001|2026|3002
1003|2009|3002
1003|2019|3002
1003|2025|3002
1005|2002|3002
1005|2008|3002
1008|2008|3002
1008|2018|3002
1008|2023|3002
1008|2027|3002
1011|2004|3002
1011|2009|3002
1011|2013|3002
1011|2020|3002
1011|2025|3002
1013|2003|3002
1013|2008|3002
